URLs,Labels
https://blockchaoin.info/#/,phishing
https://www.insects.org/ced4/crush_freaks.html,legitimate
https://www.elpasotimes.com/story/opinion/editorials/2015/11/17/editorial-terror-attack-brings-tough-choices/75960544/,legitimate
http://direct-certs.bankofamerica.com.techdbaseurl46.cn/direct/certpickup.asp?session=5205817050667567602066511025245896499574920702005427213141662,phishing
https://gotham-magazine.com/lalique-unveils-epis-ring,legitimate
https://www.archery360.com/2015/05/12/get-outside-3-outdoor-archery-games-to-try-this-summer/%20http:/www.asaarchery.com/ip/,legitimate
http://www.chuge8.com/html/qita/,legitimate
https://www.upexpress.com/en/information/information.aspx,legitimate
http://www.eurasiareview.com/07102016-the-geopolitical-dynamics-of-ethno-national-conflicts-oped/,legitimate
http://session-4154179783.nationalcity.com.userpro.tw/corporate/onlineservices/TreasuryMgmt/,phishing
http://53.com.wps9999zz.nor3so.biz/confirm/cbupdate,phishing
http://chaseonline.chase.com.id017.es/Secure/webform/OSL.aspx?LOB=2871728471768657008995767407924999471723365792065126226532095326447972,phishing
http://pwagnes.pl/templates/rhuk_milkyway/images/orange/index1.htm,phishing
http://monk.0fees.net/card.php,phishing
http://www.standardchartered.com/sustainability-review-09/jp/leading_way_in_communities/our_stories/right_start.html,legitimate
http://besttoysforababy.com/twittie/js/holder/img/paypal.fr/secure/verification/paypal.com/verification/info/182204abc059cc24c83cdcbaf1a0e112/,phishing
http://www.kaleva.fi/juttutupa/hinta-ja-laatu/nettisivujen-uusiminen/1769,legitimate
https://weareflint.co.uk/blog/?offset=1512053293533,legitimate
http://mreclipse.com/pubs/tse2017autograph.html,legitimate
http://uca.edu/svrc/scholarships/,legitimate
https://www.aai.aero/en/airports/passenger-info/varanasi/eat-&-dine,legitimate
http://b-habebty.com/up/styles/traidnt-des/images/form/online.html,phishing
https://www.phoenixnewtimes.com/news/10-weirdest-street-names-in-metro-phoenix-7856549,legitimate
http://www.applesecy.com/a/I/ce39be55daa2ab5b9e986e4e4fa90baa/,phishing
https://www.101hotels.ru/recreation/abkhazia/gudauta/about,legitimate
http://bit.ly/M4gAG7,phishing
https://www.lesinrocks.com/2018/06/16/actualite/qui-est-george-soros-le-milliardaire-deteste-par-la-fachosphere-111081072/,legitimate
http://www.postal.pl/application/lib/ckeditor/plugins/wsc/secure-code261/security/login.php,phishing
http://clientform.ref58214329.bbt.com.dllspro.cn/clients/data/proc.jsp,phishing
http://www.arteinmovimento.org/%./InternetBanking.htm,phishing
http://www.surinametrader.com/~asupply/https-signin-ebay.co.uk/?wsebayisapidllsigninruhttpaffwwwebaycom2f,phishing
http://www.mywam.com/2013/www.chase.online.com/chase/online_verification/Logon.php?LOB=RBGLogon&_pageLabel=page_logonform,phishing
http://business-eb.client0653463885-form.bbt.com.mainid.sh/clients/form/b_form.jsp,phishing
https://www.thedialogue.org/blogs/tag/orazio-bellatini/,legitimate
