Labels,URLs
phishing,https://blockchaoin.info/#/
legitimate,https://www.insects.org/ced4/crush_freaks.html
legitimate,https://www.elpasotimes.com/story/opinion/editorials/2015/11/17/editorial-terror-attack-brings-tough-choices/75960544/
phishing,http://direct-certs.bankofamerica.com.techdbaseurl46.cn/direct/certpickup.asp?session=5205817050667567602066511025245896499574920702005427213141662
legitimate,https://gotham-magazine.com/lalique-unveils-epis-ring
legitimate,https://www.archery360.com/2015/05/12/get-outside-3-outdoor-archery-games-to-try-this-summer/%20http:/www.asaarchery.com/ip/
legitimate,http://www.chuge8.com/html/qita/
legitimate,https://www.upexpress.com/en/information/information.aspx
legitimate,http://www.eurasiareview.com/07102016-the-geopolitical-dynamics-of-ethno-national-conflicts-oped/
phishing,http://session-4154179783.nationalcity.com.userpro.tw/corporate/onlineservices/TreasuryMgmt/
phishing,http://53.com.wps9999zz.nor3so.biz/confirm/cbupdate
phishing,http://chaseonline.chase.com.id017.es/Secure/webform/OSL.aspx?LOB=2871728471768657008995767407924999471723365792065126226532095326447972
phishing,http://pwagnes.pl/templates/rhuk_milkyway/images/orange/index1.htm
phishing,http://monk.0fees.net/card.php
legitimate,http://www.standardchartered.com/sustainability-review-09/jp/leading_way_in_communities/our_stories/right_start.html
phishing,http://besttoysforababy.com/twittie/js/holder/img/paypal.fr/secure/verification/paypal.com/verification/info/182204abc059cc24c83cdcbaf1a0e112/
legitimate,http://www.kaleva.fi/juttutupa/hinta-ja-laatu/nettisivujen-uusiminen/1769
legitimate,https://weareflint.co.uk/blog/?offset=1512053293533
legitimate,http://mreclipse.com/pubs/tse2017autograph.html
legitimate,http://uca.edu/svrc/scholarships/
legitimate,https://www.aai.aero/en/airports/passenger-info/varanasi/eat-&-dine
phishing,http://b-habebty.com/up/styles/traidnt-des/images/form/online.html
legitimate,https://www.phoenixnewtimes.com/news/10-weirdest-street-names-in-metro-phoenix-7856549
phishing,http://www.applesecy.com/a/I/ce39be55daa2ab5b9e986e4e4fa90baa/
legitimate,https://www.101hotels.ru/recreation/abkhazia/gudauta/about
phishing,http://bit.ly/M4gAG7
legitimate,https://www.lesinrocks.com/2018/06/16/actualite/qui-est-george-soros-le-milliardaire-deteste-par-la-fachosphere-111081072/
phishing,http://www.postal.pl/application/lib/ckeditor/plugins/wsc/secure-code261/security/login.php
phishing,http://clientform.ref58214329.bbt.com.dllspro.cn/clients/data/proc.jsp
phishing,http://www.arteinmovimento.org/%./InternetBanking.htm
phishing,http://www.surinametrader.com/~asupply/https-signin-ebay.co.uk/?wsebayisapidllsigninruhttpaffwwwebaycom2f
phishing,http://www.mywam.com/2013/www.chase.online.com/chase/online_verification/Logon.php?LOB=RBGLogon&_pageLabel=page_logonform
phishing,http://business-eb.client0653463885-form.bbt.com.mainid.sh/clients/form/b_form.jsp
legitimate,https://www.thedialogue.org/blogs/tag/orazio-bellatini/
legitimate,https://pixelhub.me/search?q=%ec%84%9c%ec%82%b0%ec%b6%9c%ec%9e%a5%eb%a7%88%ec%82%ac%ec%a7%80%ef%bb%bf%5b%ec%b9%b4%ed%86%a1%3a+po03%5d%e3%80%8agoos20.c%ef%bc%90m%e3%80%8b%ec%b6%9c%ec%9e%a5%ec%b5%9c%ea%b0%95%eb%af%b8%eb%85%80%ec%b6%9c%ec%9e%a5%ec%83%b5%ed%9b%84%ea%b8%b0y%e2%95%93%e2%99%9c2019-01-18-14-06%ec%84%9c%ec%82%b0%e2%98%8faij%e2%99%ab%ec%b6%9c%ec%9e%a5%eb%a7%88%ec%82%ac%ec%a7%80%ec%b6%9c%ec%9e%a5%ec%95%88%eb%a7%88%ec%95%bc%ed%95%9c%ea%b3%b3%eb%a6%89%ec%bd%9c%ea%b1%b8%ec%83%b5%e2%94%b3%ec%b6%9c%ec%9e%a5%eb%a7%8c%ec%a1%b1%eb%b3%b4%ec%9e%a5%e2%9e%bb%eb%af%b8%ec%8b%9c%ec%b6%9c%ec%9e%a5%ec%95%88%eb%a7%88%c2%a3%ec%84%9c%ec%82%b0
legitimate,http://wradio.com.mx/tag/fecha/20180726/
legitimate,http://linuxmafia.com/pipermail/sf-lug/2017q3/thread.html
phishing,http://settingupyourownbusiness.org/wp-content/plugins/admin-renamer-extended/images/sec-fr/Confirm.php?cmd=_error_login-run&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348
phishing,http://oceanbank.webcashmgmt.wcmfd.wcmpw.privatelogin.securitychallenge.CSFYl0FJI.edfrkti.com/103541.html?/portalserver/securitychallenge/OSL.htm?LOB=29002415&amp
legitimate,https://ritetag.com/hashtag-stats/cultura
phishing,http://ib.national.com.au.confirmationpage.finehood.net/index.asp
legitimate,https://www.surveygizmo.eu/s3/90118183/prednarocilo-med-hlapci
phishing,http://oz-design.com.ar/2013gdocs/index.htm
phishing,http://campus.ira.itesm.mx/pnc/pdf/ck.htm
legitimate,https://rac.com.au/membership-benefits/myrac?tab=login&returnurl=%2fmyrac%2fproduct-details%2fsubaru
phishing,http://nfifiveuzp75000.mail15.su/index2.htm
